transaction_number	last_time	receipt_transactions	sent_Variance_BTC	min_sent_transaction_id	total_sent_BTC	label	balance	max_sent_transaction_id	sent_Variance_USD	total_sent_USD	gs_checked	min_received_amount	activity_w	activity_d	total_received_BTC	min_sent_amount	received_Variance_USD	first_time	sent_counters	total_received_USD	max_received_transaction_id	transaction_fee	received_counters	watchback_checked	transaction_fee_Variance	received_Variance_BTC	activity_time	total_output_slots	payment_transactions	total_input_slots	address	max_sent_amount	min_received_transaction_id	max_received_amount	lifetime	flow_ratio	fan_ratio
2	2023/12/22 21:05	1	0.0	aae697a291b6476fd97b353e7d65b3bf0aaca82148d84894edea4c6a24c177b7	379924.0	0	0.0	aae697a291b6476fd97b353e7d65b3bf0aaca82148d84894edea4c6a24c177b7	0.0	167.0484036	-1	379924.0	1	1	379924.0	379924.0	0.0	2023/12/22 17:34	1	167.0484036	8c5001cad45acda48c12e0d19253bad6ef53254242c98bbd708165d46678cad4	117730.2222	189	-1	0.0	0.0	1	1	1	1	bc1qzsz4sp4p723esquffa78u6pph4nd26359jaxh9	379924.0	8c5001cad45acda48c12e0d19253bad6ef53254242c98bbd708165d46678cad4	379924.0	12682.0	0.9999999401371148	0.9999900000999989
2780	2020/7/20 1:45	1390	7030000000000000.0	974800d2c0737d619fdfb1880a2b4d4b987809d5bb405a40d1475260e2e59b21	166000000000.0	0	0.0	6469cb8bafda327ad308beb95617d61ec8b9a708fa5550d80ee1be82ed29e2d1	45023386.23	10591003.92	-1	888.0	512	512	166000000000.0	888.0	45021759.68	2018/6/8 17:11	3509	10590748.5	6f17825b7f650aec264e7c7d7b03721400adf3492858c39340b64c926bf47749	8040518.032	2780	-1	45169258.76	7030000000000000.0	512	1390	1390	1390	3CsFk6PKzm4hA8rES3ChGkVhFM2eABpcRc	2598760200.0	96fabbc162013f6f6dd0f450f373fe118a8f70767582fdea69dc996a34cd7100	2598760200.0	66731646.0	1.0000241172746194	0.9999999928057555
2	2023/12/4 22:30	1	0.0	cdbda45700468d80cd170467825a9c9314ed4487a64e63f4bebdf52b893987a2	13995518.0	0	0.0	cdbda45700468d80cd170467825a9c9314ed4487a64e63f4bebdf52b893987a2	0.0	5876.410107	-1	13995518.0	1	1	13995518.0	13995518.0	0.0	2023/12/4 21:05	1	5876.410107	c332e6565403b0e74bbe12da9a9bdc80a76ddeb54fae8610e97c53eef4ef6372	23903.75	10	-1	0.0	0.0	1	1	1	1	3P1mviCqNLvS6CxL6QqgBRShvXv2DYCeiV	13995518.0	c332e6565403b0e74bbe12da9a9bdc80a76ddeb54fae8610e97c53eef4ef6372	13995518.0	5114.0	0.9999999982982808	0.9999900000999989
450	2023/8/23 20:19	229	92900000000000.0	28d489d7caf990d7201c6860b41cfd9b114707727049f0900d1d56a01c5b463d	1729572265.0	1	0.0	e9ece61c8c77a1045d2a01065ef6046a91c1effb03a97027f9d5eb9b95cea5f9	731758.0969	173620.8904	-1	21518.0	174	163	1729572265.0	21518.0	724122.5691	2019/5/2 20:56	547	173341.179	e094682916c2a907d17faeb84e79dcaac94dfa5dcd072572760af80b6043cef6	1188014.819	849	-1	36593682.34	92300000000000.0	264	229	221	229	382nfdiqdU67rgtp6EMVkqqE7Umviykcx9	46950873.0	b34c647c07e88b0fc27c0041017b33d9da59ea2b7262027de69c258cc969bad0	46950873.0	135991393.0	1.0016136465183723	0.9999999563318797
150	2021/5/30 23:42	92	8230000000000000.0	1a861d18d6dfec62c54cc8f6fce50662f5d2cfc7782176cd145bd40be0665640	4638738129.0	1	0.0	7ac31205f6d0aaaa5da628b403b3a64c78d2b3af82ec7c99aa99885cb06eb1df	2661530336.0	2510385.15	-1	50000.0	48	42	4638738129.0	50000.0	2610614456.0	2021/4/2 19:51	611	2511166.205	db49a6f441274182752a528b7263cc54b3ee0dea04c4074936f68c3ef1bf08f7	1782072.0	92	-1	110464790.6	7990000000000000.0	50	92	58	92	3FEvSkQJn5Wq15WJSoQvUJ4xQeQ8GFLcGH	487848335.0	a7bd42a86a84b5d5993a13caa829985d259aea5922be2fcc5e3b11a40209a545	487848335.0	5025087.0	0.9996889672183219	0.9999998913043596
4	2021/6/11 8:31	2	30614089.0	7875189dbe0f3e0093f56f0daf57da749fb2e1451034acdb9106d88b241d441b	1339068.0	1	0.0	cf53053cb5288a51846f1f2aaa9d2e350c0feb921be6047dc4fc1f81798ba0a2	4.262642605	499.6678679	-1	664001.0	1	1	1339068.0	664001.0	4.112018677	2021/6/10 12:51	3	490.7603876	a48447e3d2bcc5563f96e7c81bf51d5fde3b00607154ad01b65a1084e879bac0	5900.0	3	-1	24336.0	30614089.0	2	2	2	2	bc1qanhcl4days4y40dskzq9esc3tvu5tt6xl0yvcx	675067.0	e5781590426769992affd205fac76b830b81d382c7a3df7380f9c5512a356816	675067.0	70799.0	1.0181503445338311	0.9999950000249999
2	2024/1/3 17:52	1	0.0	e01e271a47e7b426cf18607c50c3cd419fad38267daf52951c88fd926d46dc35	5535806.0	0	0.0	e01e271a47e7b426cf18607c50c3cd419fad38267daf52951c88fd926d46dc35	0.0	2371.323394	-1	5535806.0	1	1	5535806.0	5535806.0	0.0	2024/1/3 10:44	1	2371.323394	0e18f19340282795ea45ac632db85ee78310d7f5879d6c8a071a5bab3ac775d1	23058.0	1	-1	0.0	0.0	1	1	1	1	1AKArBU7nMQDSeXaumPSwtjYfHRPXnpDEq	5535806.0	0e18f19340282795ea45ac632db85ee78310d7f5879d6c8a071a5bab3ac775d1	5535806.0	25671.0	0.9999999957829454	0.9999900000999989
2	2020/11/30 10:51	1	0.0	e505815cd7fe271669b6a4d9070e6577d3158d7f8a9823b815db7f627c27fa41	55952801.0	1	0.0	e505815cd7fe271669b6a4d9070e6577d3158d7f8a9823b815db7f627c27fa41	0.0	11021.63869	-1	55952801.0	1	1	55952801.0	55952801.0	0.0	2020/11/30 10:08	1	11021.63869	cc231dc5241f13422546446e19d2b92272c7bf96976e49a7c8f176133aee523e	5625.0	2	-1	0.0	0.0	1	1	1	1	1ARYE8bJ9Hrx2DecYSEhYiXnVXqaaf7Gga	55952801.0	cc231dc5241f13422546446e19d2b92272c7bf96976e49a7c8f176133aee523e	55952801.0	2526.0	0.9999999990926939	0.9999900000999989
2	2024/1/5 12:07	1	0.0	1b5e5e1cce293a3b7f700b00f0a895ce1a041496429ac85f7470c1d5c23e9b55	2054568.0	0	0.0	1b5e5e1cce293a3b7f700b00f0a895ce1a041496429ac85f7470c1d5c23e9b55	0.0	907.2335372	-1	2054568.0	1	1	2054568.0	2054568.0	0.0	2024/1/1 12:47	1	907.7779977	8ab4378b8b160a782c737ad249cbf04e707c1cd867d5d95a5f1d9482dd17ebcb	5812.722581	1	-1	0.0	0.0	2	1	1	1	3G71GvPXsnsUnEm1mx3zZYviBANBcdPerg	2054568.0	8ab4378b8b160a782c737ad249cbf04e707c1cd867d5d95a5f1d9482dd17ebcb	2054568.0	343253.0	0.9994002162473846	0.9999900000999989
2	2023/12/29 19:08	1	0.0	689dd5dad31f10088827ce7f7d200eed2fd971dc7c9798e8f94c28aa0a8e00bf	972235.0	1	0.0	689dd5dad31f10088827ce7f7d200eed2fd971dc7c9798e8f94c28aa0a8e00bf	0.0	409.0425981	-1	972235.0	1	1	972235.0	972235.0	0.0	2023/12/29 15:29	1	409.0425981	02374044d30222d6dc56c886a7eae08d1304d8286c40858915d6510d0b0ecc1f	13320.0	1	-1	0.0	0.0	1	1	1	1	bc1qfhc5t4y0sdmfkddgjjg4z8zcpng8tgakyffw9d	972235.0	02374044d30222d6dc56c886a7eae08d1304d8286c40858915d6510d0b0ecc1f	972235.0	13143.0	0.9999999755526692	0.9999900000999989
4	2024/3/24 6:29	2	1060000000000.0	232b8156653a272f68a1fc52c9f2b248dfb8ff709791b76c197c71e86203deef	2455677.0	0	0.0	287b5cbc9edc7b2644b6030cf8cd48a70f3ed22d555af8a3231e19c7497fe2b2	241817.9152	1253.25735	-1	200677.0	2	2	2455677.0	200677.0	224002.734	2021/2/28 21:04	2	1090.317858	160ed5232a93048d93975319e78261e20887cd80da6e111d1dd867dc7038690d	16767.11415	3	-1	53941343.48	1060000000000.0	4	2	2	2	16my7pRqMfD2jB6GoS1brj1nkf6KECLKHJ	2255000.0	de806ffe9cc0b2ac428dbce41c658b1fc5d2a8269d08e7ba0da0abdf2e799c6a	2255000.0	96715511.0	1.1494421826718153	0.9999950000249999
2	2023/11/21 23:33	2	0.0		0.0	0	6874704.0		0.0	0.0	-1	106884.0	2	0	6874704.0		954355.1419	2023/4/17 16:59	2	2030.380057	44fdba12a2412ac8e8f3c952aef8b3f56c5582774500321eec7b3819247b2f03	0.0	0	-1	0.0	11100000000000.0	2	2	0	0	3Qp5PDPnodccfxYz3kRX1xcaAr7BwibFG7		6a477e1a8458337dfce3f2d358b42aea00efc637099c4374ab072b9a57ac6d5f	6767820.0	18858823.0	0.0	199999.99999999997
2	2024/3/10 2:23	1	0.0	f31fe0fdc95cb8d151589f6386ae794c38d09e1b9647078b7dcb4f3b432acfa2	594111.0	0	0.0	f31fe0fdc95cb8d151589f6386ae794c38d09e1b9647078b7dcb4f3b432acfa2	0.0	409.7274629	-1	594111.0	1	1	594111.0	594111.0	0.0	2024/3/7 14:33	1	397.1946914	8903acafc201c49dbaae847e6e6cd28a6759f5977affffc5a299941a3f12cb9c	3820.5	2	-1	0.0	0.0	2	1	1	1	3F7DycRPEbyos2WdBQNqivPY6vSzripLBJ	594111.0	8903acafc201c49dbaae847e6e6cd28a6759f5977affffc5a299941a3f12cb9c	594111.0	215370.0	1.0315531940779308	0.9999900000999989
0		0	0.0		0.0	0	0.0		0.0	0.0	-1		0	0	0.0		0.0		0	0.0		0.0	0	-1	0.0	0.0	0	0	0	0	bc1q092zf0thxru3d9qswcce27ack3we63cpmmcr2d					0.0	0.0
6	2023/1/16 21:08	3	42835897913.0	d3eeed8da9a985441250c7a30aa60a5b0eb7cb07ea9d3ac8636552ece7a98430	1960000.0	0	0.0	976ca17632768cae04c281dfcc1e7f5817a16d719d1d93f0df24481a03c35c53	2224.332912	404.0124	-1	480000.0	2	2	1960000.0	480000.0	2224.332912	2023/1/12 19:06	3	404.0124	c3e1ab8db0716ed91eacc142925021836e2aba56431c40fd8f655649695f9406	2791.611111	6	-1	87408.86077	42835897913.0	2	3	3	3	bc1q5ac2cnjwncfuv6e5fuwc0v6tn89x68wsc5vv32	944256.0	37d72b720b2ba0cc67a6ed4178c46cd87a5789a79e67d20dc884a82077b14362	944256.0	352904.0	0.9999999752482851	0.9999966666777778
2	2021/10/19 7:39	1	0.0	7f49affdc1f3a80af83056dd45f5eb5a944922629529a28d1cdbcc964412d0ef	14739902493.0	1	0.0	7f49affdc1f3a80af83056dd45f5eb5a944922629529a28d1cdbcc964412d0ef	0.0	9474588.224	-1	14739902493.0	1	1	14739902493.0	14739902493.0	0.0	2021/10/19 6:36	1	9474588.224	f0b632ccd0e58870110a09502a4cf83c5659cda59ec3f371c879866f7b22ac4a	1844.0	2	-1	0.0	0.0	1	1	1	1	3AHZnfgeYxibCVGRPr8AHERc7YfnDsKSDQ	14739902493.0	f0b632ccd0e58870110a09502a4cf83c5659cda59ec3f371c879866f7b22ac4a	14739902493.0	3752.0	0.9999999999989445	0.9999900000999989
2	2023/3/4 15:49	1	0.0	53659416dd16d87d4543615957ef734db2a601a68f5f6708a26fc537dc742194	170945.0	0	0.0	53659416dd16d87d4543615957ef734db2a601a68f5f6708a26fc537dc742194	0.0	38.2012501	-1	170945.0	1	1	170945.0	170945.0	0.0	2023/3/2 0:51	1	40.11292803	8011b339e786a649b06261c4f4918d815a4bb89a3a2ca01553e4b0ef45484700	655.25	9	-1	0.0	0.0	2	1	1	1	3ARwzz2E33dtdwJiNxBbQxmQPDNZ2xwJe2	170945.0	8011b339e786a649b06261c4f4918d815a4bb89a3a2ca01553e4b0ef45484700	170945.0	226698.0	0.9523423607472913	0.9999900000999989
0		0	0.0		0.0	0	0.0		0.0	0.0	-1		0	0	0.0		0.0		0	0.0		0.0	0	-1	0.0	0.0	0	0	0	0	1BAbYsB4LKjYzSTsG8SKc3Wv6ZMsFTg7Pz					0.0	0.0
2	2021/3/28 18:24	1	0.0	0e13ba4e55b09724587e89aff318398131f74da17576f7df24b3d9498d80a4be	1292749.0	1	0.0	0e13ba4e55b09724587e89aff318398131f74da17576f7df24b3d9498d80a4be	0.0	720.9040653	-1	1292749.0	1	1	1292749.0	1292749.0	0.0	2021/3/27 7:15	1	722.1670811	ccde46cb60e769cf71f073fc4f2a6b36a4058147b13f61df6194f4915a5db72d	13090.0	2	-1	0.0	0.0	2	1	1	1	1Nm6Y7CBtyrs4MGZ47nG6oqMkn1YnDgg53	1292749.0	ccde46cb60e769cf71f073fc4f2a6b36a4058147b13f61df6194f4915a5db72d	1292749.0	126565.0	0.9982510615402369	0.9999900000999989
3	2023/4/6 20:35	2	2075040.25	51f2827cca02cfde21850e3f9677bb2e12383d7a412810fe5f1a67ca789655ae	17119.0	1	0.0	51f2827cca02cfde21850e3f9677bb2e12383d7a412810fe5f1a67ca789655ae	0.163109897	4.799602673	-1	7119.0	1	1	17119.0	7119.0	0.164705511	2023/4/5 17:36	2	4.823021465	6099eb18f97f5974c9f2d74a2af28cba6f4ebcd5d4edebfdb71f11fc4d2c5fa5	3560.0	2	-1	0.0	2075040.25	2	2	1	2	bc1q2lsu8wxh05588e24zm7chgcfl0v5u06fay3hzw	10000.0	33aea3cd06acb63c49657028b44dea4773c41d490aa0b5483cfa237e115da62f	10000.0	97137.0	0.995142309941368	0.9999950000249999
60	2023/12/6 8:16	36	1.55e+19	acde706e9171243586a40988b170c6b0abea7d7b4c066980cdfa9b30bb5cf0d8	99516943303.0	1	0.0	2bfd5dd9cff2e002b44a1cbd6f049645318a77abbbb277a1ea0a16103fb76103	4690000000000.0	43184276.3	-1	22077.0	27	30	99516943303.0	22077.0	5840000000000.0	2020/12/28 1:27	46	43295084.58	e36567efc48c3d35f1e586d57014a926c5863cd4d2a7f0d5ebf645217140e332	414578.9555	46	-1	130116028.0	1.88e+19	43	36	35	36	1Bwz8e8BhEg13o4dvNAtoqmAf684r9wDQR	16876961647.0	e5d89e3adbc6f2a690401edee15dfdb0aee23084a0bfe07bfce23c997ee0da24	16876961647.0	92731717.0	0.9974406267805015	0.9999997222222993
2	2023/12/19 8:58	1	0.0	baca2b83238bec9a1dd73fa0fec94d9b8f2d507e61bafd2d08851f8003ae8c77	1013460.0	1	0.0	baca2b83238bec9a1dd73fa0fec94d9b8f2d507e61bafd2d08851f8003ae8c77	0.0	428.2811018	-1	1013460.0	1	1	1013460.0	1013460.0	0.0	2023/12/19 8:42	1	428.2811018	0b75184fe6c0d5a61ac39526aa6e47b3cd1ab840a1cc8af572bc566b2d9d2876	60051.0	1	-1	0.0	0.0	1	1	1	1	bc1q6l4feuxgg87rq5gkpy0s4tx5z4eek7q5mwg0k6	1013460.0	0b75184fe6c0d5a61ac39526aa6e47b3cd1ab840a1cc8af572bc566b2d9d2876	1013460.0	924.0	0.9999999766508498	0.9999900000999989
3	2020/4/29 7:34	2	6.21e+16	3bea1b2e73314134d72aac0cc4e8f30f5afcbd35df603c0be694bff89fb75a8a	501438090.0	1	0.0	3bea1b2e73314134d72aac0cc4e8f30f5afcbd35df603c0be694bff89fb75a8a	478042510.6	43980.63344	1	1438090.0	2	1	501438090.0	1438090.0	348572822.5	2020/4/22 14:59	2	37544.7899	4d192e5bdf6a08304124ea3b4e1c1a051701dffaf45b3fd941f3f1c6ff00e1fb	6342.0	4	-1	0.0	6.21e+16	3	2	1	2	bc1qx35wa2reueyf2jmhq3ffdv5vmqn5s8nm6flp9n	500000000.0	912fb89abf0b54b49df567132ae787886e9ee1284e26ea2ab302690c2a31c815	500000000.0	578128.0	1.1714177531803371	0.9999950000249999
2	2024/1/25 22:58	1	0.0	41d64c9215f562f991998aa18fdf52b518d10b1047f4a00b65a7cef6b9b5ba50	2342936.0	0	0.0	41d64c9215f562f991998aa18fdf52b518d10b1047f4a00b65a7cef6b9b5ba50	0.0	935.6678922	-1	2342936.0	1	1	2342936.0	2342936.0	0.0	2024/1/3 21:22	1	1003.622408	63b544e994d16decf738c36bff8e404d61eebfcf116c50b6265baa0f607055c4	5239.590164	11	-1	0.0	0.0	2	1	1	1	3D6sjHtKUtSuokm9g8LpCW73ZLFtQ7JFX7	2342936.0	63b544e994d16decf738c36bff8e404d61eebfcf116c50b6265baa0f607055c4	2342936.0	1906575.0	0.932290745422548	0.9999900000999989
1	2023/12/3 18:55	1	0.0		0.0	0	47672.0		0.0	0.0	-1	47672.0	1	0	47672.0		0.0	2023/12/3 18:55	1	19.05459374	08d3af154609b837248e4cea014fc6123ea55f0408fab8b8245d69ddd95b40b0	0.0	0	-1	0.0	0.0	1	1	0	0	1CCwboAiTz5euQTNZmz5GNhVBu964MFPnS		08d3af154609b837248e4cea014fc6123ea55f0408fab8b8245d69ddd95b40b0	47672.0	0.0	0.0	99999.99999999999
2	2024/1/5 21:33	1	0.0	1b195d0b89331a2487504f68c408b503c3e577833830fffd1077be5efb9b88a4	273694.0	0	0.0	1b195d0b89331a2487504f68c408b503c3e577833830fffd1077be5efb9b88a4	0.0	120.8547859	-1	273694.0	1	1	273694.0	273694.0	0.0	2023/12/19 19:14	1	115.6611685	d15b41cc7fb520d991ba0c798018b7ed49db8c4f792006b48a68f9c31bef4b2c	26460.0	1	-1	0.0	0.0	2	1	1	1	1M6WRVerBep1cWgucJtVjn4QgDp4z9Tah3	273694.0	d15b41cc7fb520d991ba0c798018b7ed49db8c4f792006b48a68f9c31bef4b2c	273694.0	1477115.0	1.044903635492526	0.9999900000999989
2	2016/7/27 10:17	1	0.0	9a04beb06a095be11b56a59999b6526637204143978527bf68c15dfdf7c6e7b9	200000000.0	1	0.0	9a04beb06a095be11b56a59999b6526637204143978527bf68c15dfdf7c6e7b9	0.0	1309.0	1	200000000.0	1	1	200000000.0	200000000.0	0.0	2016/7/25 2:15	1	1308.0	1891179ccf5b71f36df72878eaecd7233675c3bb78a34d18960c1065c7ae445d	8056.833333	2	-1	0.0	0.0	2	1	1	1	1HiSCLcH8k7bCGEjT4uaHec2gWbpiftxsn	200000000.0	1891179ccf5b71f36df72878eaecd7233675c3bb78a34d18960c1065c7ae445d	200000000.0	201706.0	1.000764518342779	0.9999900000999989
200	2021/3/5 23:57	135	18400000000000.0	25dc9d757c40d8fb75f733572022cbb6d921292461afc4ec8e1e94332c3462f1	239108476.0	1	4332.0	3937ded0c675f16bc86965e14028ebf678875ea52c6b59aaf6c349ad6cd7ef34	261171.7855	37919.67327	-1	4332.0	76	53	239112808.0	10113.0	88951.70308	2020/7/13 23:57	577	37866.92303	8251c35e1962666c9584582ac5b2d0990c11df5fae1cccf1357d204e3b1daaf8	819851.2294	192	-1	58280754.7	3580000000000.0	91	135	65	134	15bRGDYYFZmhCYxZayGtk7YFvYcNuVoNAx	14438110.0	9bb721e87e77747f6065d3c9d6e2daf86e408a528662d001be7dc0a83aa22b52	14438110.0	20303976.0	1.0013930424171058	1.007462611383387
2	2023/12/10 15:52	1	0.0	7d9bdb8c74188c7baa4a2a1dc1931233db57a28b887dfc7afff3f4aad4395bbf	482678.0	0	0.0	7d9bdb8c74188c7baa4a2a1dc1931233db57a28b887dfc7afff3f4aad4395bbf	0.0	211.369523	-1	482678.0	1	1	482678.0	482678.0	0.0	2023/9/29 17:12	1	129.8876844	d58572708a827db44ec24fca827c659ebac6466df6712d9dbecaf61d75740b30	25906.53886	46	-1	0.0	0.0	2	1	1	1	3AYU1frPbs9fFFonHdQHEe2EuS59cJrCHb	482678.0	d58572708a827db44ec24fca827c659ebac6466df6712d9dbecaf61d75740b30	482678.0	6215999.0	1.627325236439026	0.9999900000999989
115	2022/9/5 9:49	65	104000000000.0	442802979c10a4bb899108b1ddb4b722a869c891907bfa21a28779df3135cdea	23620195.0	1	0.0	fceae5b2333e8179832cca8b4ce47ebb48c2140c61a58444a1db3df9b0656bad	3497.769764	5366.375041	-1	15593.0	9	9	23620195.0	15593.0	2102.400128	2022/5/10 8:23	244	5369.972246	447f8c374504c2d052f82e50d7192545671ef555182f0bbd3135d778899f9de0	43756.3679	65	-1	5316334.911	56593021477.0	10	65	50	65	3MVb1B2kDBMgFBhFc9FoQrRpam7E4Li3j7	1800728.0	b99e70772b3dce2b13c816bba40f53232a15eb9ac12d4ff2da5accebdf456569	1800728.0	10200352.0	0.9993301240996207	0.9999998461538697
